square_id,selection_order,permutation_position,center_x_m,center_y_m,test_xmin_m,test_xmax_m,test_ymin_m,test_ymax_m,footprint_xmin_m,footprint_xmax_m,footprint_ymin_m,footprint_ymax_m,test_eligible_cells,training_eligible_cells,test_eligible_fraction,footprint_inside_fraction,marginal_min_coverage,marginal_mean_coverage,marginal_limiting_feature,joint_distance_median,joint_distance_q95,marginal_s,marginal_h,marginal_mag_s,marginal_mag_h,marginal_driving_stress,marginal_surface_air_temp,marginal_b,marginal_mag_b,marginal_heatflux,marginal_gravity_disturbance,marginal_mag_anomaly,marginal_cos_theta_bs,joint_coverage_ref_q95,joint_coverage_ref_q99
SQ01,1,1,-1590000.0,-105000.0,-1615000.0,-1565000.0,-130000.0,-80000.0,-1655000.0,-1525000.0,-170000.0,-40000.0,100.0,11113.0,1.0,0.9748520710059172,0.96,0.9908333333333333,driving_stress,0.9949699017927836,1.4358049082990898,1.0,1.0,0.97,0.98,0.96,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.98,1.0
SQ02,2,2,-1385000.0,-225000.0,-1410000.0,-1360000.0,-250000.0,-200000.0,-1450000.0,-1320000.0,-290000.0,-160000.0,100.0,11096.0,1.0,1.0,0.97,0.9966666666666667,b,0.8851109699772464,1.28359985612269,1.0,1.0,1.0,0.99,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,0.99,1.0
SQ03,3,4,-1380000.0,-520000.0,-1405000.0,-1355000.0,-545000.0,-495000.0,-1445000.0,-1315000.0,-585000.0,-455000.0,100.0,11117.0,1.0,0.9748520710059172,0.97,0.9933333333333333,driving_stress,0.9966801386045971,1.3389149973986147,1.0,1.0,0.99,0.99,0.97,1.0,1.0,0.99,1.0,1.0,1.0,0.98,1.0,1.0
SQ04,4,5,-1215000.0,-310000.0,-1240000.0,-1190000.0,-335000.0,-285000.0,-1280000.0,-1150000.0,-375000.0,-245000.0,100.0,11096.0,1.0,1.0,0.98,0.9958333333333335,mag_s,0.953585627297002,1.317508487748042,1.0,1.0,0.98,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0
SQ05,5,6,-1540000.0,-250000.0,-1565000.0,-1515000.0,-275000.0,-225000.0,-1605000.0,-1475000.0,-315000.0,-185000.0,100.0,11196.0,1.0,0.9940828402366864,0.98,0.9975,cos_theta_bs,0.985355618576281,1.256939333920501,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.99,1.0
SQ06,6,14,-1450000.0,-390000.0,-1475000.0,-1425000.0,-415000.0,-365000.0,-1515000.0,-1385000.0,-455000.0,-325000.0,100.0,11096.0,1.0,1.0,0.95,0.9875000000000002,driving_stress,1.1228939854018407,1.5513698721142364,1.0,1.0,0.99,0.99,0.95,1.0,1.0,1.0,1.0,0.96,0.98,0.98,0.95,0.99
SQ07,7,21,-1235000.0,-470000.0,-1260000.0,-1210000.0,-495000.0,-445000.0,-1300000.0,-1170000.0,-535000.0,-405000.0,100.0,11096.0,1.0,1.0,0.98,0.9958333333333332,mag_s,0.946677119074931,1.2304578979159142,1.0,1.0,0.98,1.0,0.98,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
SQ08,8,178,-1215000.0,-600000.0,-1240000.0,-1190000.0,-625000.0,-575000.0,-1280000.0,-1150000.0,-665000.0,-535000.0,100.0,11176.0,1.0,0.8816568047337278,0.97,0.9900000000000001,heatflux,1.1112974111178653,1.5588685001342173,1.0,1.0,0.98,0.99,0.98,1.0,1.0,0.99,0.97,0.99,1.0,0.98,0.96,1.0
SQ09,9,232,-1435000.0,-85000.0,-1460000.0,-1410000.0,-110000.0,-60000.0,-1500000.0,-1370000.0,-150000.0,-20000.0,100.0,11218.0,1.0,0.8195266272189349,0.98,0.995,mag_b,0.969705307482172,1.26072220506022,1.0,1.0,0.99,0.99,0.99,1.0,1.0,0.98,1.0,1.0,1.0,0.99,1.0,1.0
SQ10,10,283,-1255000.0,-160000.0,-1280000.0,-1230000.0,-185000.0,-135000.0,-1320000.0,-1190000.0,-225000.0,-95000.0,97.0,11268.0,0.97,0.7455621301775148,0.9690721649484536,0.9939862542955327,cos_theta_bs,1.1239158732800527,1.4253352980453247,1.0,0.979381443298969,1.0,0.9896907216494846,1.0,1.0,1.0,0.9896907216494846,1.0,1.0,1.0,0.9690721649484536,0.979381443298969,1.0
